099129J	Graduate Certificate in Educational Leadership
099393D	Bachelor of Philosophy/Bachelor of Laws
102185D	Bachelor of Psychology (Honours)
102811E	Graduate Certificate in Innovation and Entrepreneurship
102812D	Graduate Certificate in Application Development
102813C	Graduate Certificate in Data Analytics
102814B	Graduate Certificate in Cyber Security
102815A	Graduate Certificate in Data Science
103846H	Master of Spiritual Direction
103847G	Master of Theological Studies
105271D	Master of Social Work (Qualifying)
106762K	Diploma in Biomedical Science
106763J	Diploma in Exercise Science
106764H	Diploma in Nutrition Science
106765G	Diploma in Information Technology
106766F	Master of Dietetic Practice
106767E	Bachelor of Criminology and Criminal Justice
107259F	Master of Teaching (Early Childhood and Primary)
108047K	Bachelor of Philosophy/Bachelor of Laws (Honours)
108631E	Bachelor of Commerce (Accounting)
108632D	Bachelor of Commerce (HRM and Management)
108633C	Bachelor of Commerce (Marketing)
108634B	Bachelor of Commerce (Data Analytics)
108635A	Bachelor of Criminology and Criminal Justice (Honours)
108636M	Bachelor of Criminology and Criminal Justice/Bachelor of Laws
108637K	Doctor of Ministry
109294J	Bachelor of Arts/Master of Teaching (Secondary)
109295H	Bachelor of Arts (Western Civilisation)/Master of Teaching (Secondary)
111436D	Bachelor of Human Rights
111437C	Bachelor of Human Rights/Bachelor of Laws
111438B	Bachelor of Human Rights/Bachelor of Criminology and Criminal Justice
111751D	Master of Liberal Arts (Western Civilisation)
111752C	Bachelor of Psychological Science/Bachelor of Nutrition Science
111753B	Bachelor of Psychological Science/Bachelor of Criminology and Criminal Justice
111754A	Diploma in Criminology
111755M	Bachelor of Laws (Graduate Entry) (Honours)
114234A	Master of Philosophy (Information Technology)
117399M	Bachelor of Computer Science/Master of Data Science
117558A	Bachelor of Business/Bachelor of Laws
117559M	Bachelor of Business/Bachelor of Laws (Honours)
117562E	Bachelor of Information Technology/Bachelor of Business
117563D	Bachelor of Biomedical Science/Bachelor of Business
117564C	Bachelor of Nursing/Bachelor of Business
117565B	Bachelor of Business/Bachelor of Global Studies
117847C	Bachelor of Social and Environmental Sustainability
117848B	Bachelor of Social and Environmental Sustainability/Bachelor of Global Studies
117849A	Bachelor of Social and Environmental Sustainability/Bachelor of Commerce
117850H	Bachelor of Laws/Bachelor of Social and Environmental Sustainability
117851G	Bachelor of Laws (Honours)/Bachelor of Social and Environmental Sustainability
